Result Type,Objective,Platform,Ad,Ad Group,Campaign,Spend,Impressions,Clicks,Video Starts,Reach,Video Full Completion,Engagements,Results,Text,Text ID
Missing Value,Missing Value,facebook,Sea Monsters Unearthed | Texas Prospective Students | December 2020,Sea Monsters Unearthed | Texas Prospective Students | December 2020,Sea Monsters Unearthed | Texas Prospective Students | December 2020,65.68,43406,148,0.0,32441.0,0.0,6,148.0,"Piece by piece, SMU paleontologist Louis Jacobs and a small army of undergrads have helped uncover an underwater world teeming with spectacular creatures.",147
Missing Value,Missing Value,facebook,Sheffield Hall Announcement | SMU Page Followers | Sheffield Hall | April 2021,Sheffield Hall Announcement | SMU Page Followers | Sheffield Hall | April 2021,Sheffield Hall Announcement | SMU Page Followers | Sheffield Hall | April 2021,402.57,60937,520,0.0,39551.0,0.0,299,520.0,"A $15 million gift from Sharoll and Bryan S. Sheffield ’01 will establish Bryan S. Sheffield Hall, creating innovative learning environments for students.",23
Link clicks,Missing Value,facebook,Sheffield Impact | DFW Area | Sheffield Hall | April 2021,Sheffield Impact | DFW Area | Sheffield Hall | April 2021,Sheffield Impact | DFW Area | Sheffield Hall | April 2021,19.03,3937,19,0.0,3588.0,0.0,10,19.0,"Sheffield Hall will also serve as the new hub for our Bachelor of Business Administration program, including BBA admissions, academic advising and student records.",186
Link clicks,Missing Value,facebook,SoCal Event Recap,SoCal Event Recap,SoCal Event Recap,299.02,10406,109,7851.0,5965.0,468.0,51,109.0,"We had a blast celebrating the Southern California launch of SMU Ignited: Boldly Shaping Tomorrow. The festivities marked an exciting new chapter in SMU’s history, and we are so grateful to our Southern California friends who joined us for the special occasion.",236
Link clicks,Missing Value,facebook,SoCal Event Recap Ad;...and 1 more ad,SoCal Event Recap Ad;...and 1 more ad,SoCal Event Recap Ad;...and 1 more ad,698.76,78945,1298,33110.0,65072.0,1735.0,229,1298.0,SMU celebrated the Southern California launch of SMU Ignited: Boldly Shaping Tomorrow. The event at SoFi Stadium was attended by more than 200 Mustangs from across the region. Learn more about the event and this exciting initiative.,165
Link clicks,Missing Value,facebook,Stakiah Quote | Black Album Launch | February Editorial | February 2021,Stakiah Quote | Black Album Launch | February Editorial | February 2021,Stakiah Quote | Black Album Launch | February Editorial | February 2021,18.62,6841,36,0.0,6126.0,0.0,1,36.0,Explore the lasting impact of art and activism.,71
Missing Value,Missing Value,facebook,Story Launch | Texas Prospective Students | July 2021,Story Launch | Texas Prospective Students | July 2021,Story Launch | Texas Prospective Students | July 2021,74.27,22932,99,0.0,16700.0,0.0,5,99.0,"As an SMU student, Stuart Palley '11 never envisioned a career kindled by fire. Now he captures them through his lens for acclaimed publications around the nation.",41
Link clicks,Missing Value,facebook,Story | Higher Ed Influencers | Whitney Wolfe Herd | April 2021,Story | Higher Ed Influencers | Whitney Wolfe Herd | April 2021,Story | Higher Ed Influencers | Whitney Wolfe Herd | April 2021,499.01,89733,778,0.0,61519.0,0.0,54,778.0,"In 2014, Whitney Wolfe Herd '11 thought her career was over. Instead, she trusted her instincts and set out to reinvent the Internet for women.",100
Link clicks,Missing Value,facebook,Story | Texas Prospective Students | Whitney Wolfe Herd | April 2021,Story | Texas Prospective Students | Whitney Wolfe Herd | April 2021,Story | Texas Prospective Students | Whitney Wolfe Herd | April 2021,353.55,128477,379,0.0,88970.0,0.0,11,379.0,"When creating Bumble, Whitney Wolfe Herd '11 went to her friends and community from her college days. Now, she's the youngest woman to take her company public. And every step of the way, she's had a community of Mustangs running alongside her.",244
Link clicks,Missing Value,facebook,Templeton Impact 2 | Higher Ed Influencers | March 2021,Templeton Impact 2 | Higher Ed Influencers | March 2021,Templeton Impact 2 | Higher Ed Influencers | March 2021,94.65,20977,148,0.0,17611.0,0.0,14,148.0,"With this gift, we can double the current offerings of the Lyle Engineering Scholar’s Program.",249
Link clicks,Missing Value,facebook,Templeton Impact | Higher Ed Influencers | March 2021,Templeton Impact | Higher Ed Influencers | March 2021,Templeton Impact | Higher Ed Influencers | March 2021,368.86,43603,617,0.0,38988.0,0.0,96,617.0,"With this gift, we can double the current offerings of the Lyle Engineering Scholar’s Program.",249
Link clicks,Missing Value,facebook,Titan | Higher Ed Stories | September 2021,Titan | Higher Ed Stories | September 2021,Titan | Higher Ed Stories | September 2021,439.65999999999997,83391,1605,0.0,78641.0,0.0,438,1605.0,"While we can't go to Titan, we can bring Titan to us. Researchers recreated Saturn's largest moon’s conditions in small glass cylinders to better understand two minerals on this icy world.",248
Missing Value,Missing Value,facebook,Transportation Mobility Innovation,Transportation Mobility Innovation,Transportation Mobility Innovation,2.1500000000000004,548,5,0.0,521.0,0.0,4,5.0,The North Texas Center for Mobility Technologies is intended to strengthen the universities’ capabilities in the transportation sector and to attract mobility technology companies to the region.,202
