Text ID,Text,Spend,Impressions,Clicks,Video Starts,Reach,Video Full Completion,Engagements,Results,Platform,Platform Count,Ad,Ad Count,Ad Group,Ad Group Count,Campaign,Campaign Count,Result Type,Result Type Count,Objective,Objective Count
36,An immersive summer internship in economics and public policy allowed Nia Kamau '22 an opportunity to create sustainable social change.,0.63,59,1,0.0,0.0,0.0,1,1.0,Twitter,1,Nia Kamau Paid,1,Nia Kamau | Bridge Stories | Higher Ed Influencers | November 2021,1,Bridge Stories | Higher Ed Influencers | November 2021,1,Link clicks,1,Website traffic,1
37,"Army and Air Force Reserve Officers’ Training Corp (ROTC) students at SMU with full-tuition ROTC scholarships are now eligible for a new SMU scholarship that will cover the full cost of their campus housing and dining. When combined, these scholarships will cover all costs for tuition, fees, housing and dining.",1411.1499999999999,396354,783,0.0,325334.0,0.0,254,0.0,"facebook, instagram, unknown",3,ROTC Scholarship | Texas Prospective Parents | November Content; ROTC Scholarship | Higher Ed Influencers | November Content;...and 1 more ad,1,ROTC Scholarship | Texas Prospective Parents | November Content; ROTC Scholarship | Higher Ed Influencers | November Content;...and 1 more ad,1,ROTC Scholarship | Texas Prospective Parents | November Content; ROTC Scholarship | Higher Ed Influencers | November Content;...and 1 more ad,1,Missing Value,1,Missing Value,1
38,"As SMU’s powerful new supercomputer research system launched on campus, students assembled their own “baby supercomputer.”",2349.96,1328310,595,870376.0,1173734.0,11554.0,241,1278785.0,"Twitter, audience_network, facebook, unknown",4,"Ad 1, Baby Super Computer, Baby Supercomputer;...and 2 more ads",3,"Baby Supercomputer;...and 2 more ads, Higher Education Audience (targeted), Tech Audience-Targeted",3,"Baby Supercomputer;...and 2 more ads, Supercomputer Editorial Campaign",2,"Impressions, Missing Value, Reach",3,"Missing Value, Reach",2
39,"As a fifth-grader, Haley Taylor Schlitz '22 struggled to be acknowledged by her public school's gifted and talented program. Now, at the age of 19, she just became SMU’s youngest law school graduate ever.",280.72999999999996,18242,434,0.0,0.0,0.0,462,109.0,Twitter,1,Ad 2,1,"Dallas Geographic Area, Higher Ed Influencers",2,"Here We Go, Mustangs! Editorial - 2022",1,Link clicks,1,Website traffic,1
40,"As a research and data science powerhouse, we're helping Dallas extend its reach nationally and internationally.",141.67000000000002,57521,395,0.0,0.0,0.0,400,95.0,Twitter,1,SMU Research,1,SMU Research Capabilities,1,April Higher Ed Stories | April 2021,1,Link clicks,1,Website traffic,1
41,"As an SMU student, Stuart Palley '11 never envisioned a career kindled by fire. Now he captures them through his lens for acclaimed publications around the nation.",477.65,175399,509,0.0,166475.0,0.0,60,509.0,"facebook, instagram, unknown",3,Story Launch | Texas Prospective Students | July 2021,1,Story Launch | Texas Prospective Students | July 2021,1,Story Launch | Texas Prospective Students | July 2021,1,"Link clicks, Missing Value",2,Missing Value,1
42,"As part of the @SMUCox renovation and expansion project, Katy A. and Kyle Miller ’01 have committed a $5 million gift to establish the Kyle and Katy Miller Courtyard to provide our community with an open, welcoming environment to exchange ideas and build business associations.",38.35,6994,29,0.0,0.0,0.0,29,6994.0,Twitter,1,PAID Miller Gift,1,"Dallas Geographic Area, Higher Ed Influencers, SMU Page Followers",3,SMU Ignite Kickoff and Pillar Promo,1,Impressions,1,Reach,1
43,"As wildfires and the devastation that follows worsens each year, can we find a way to coexist with them? Today’s flammable landscapes have long human histories that have much to teach us.",1016.8399999999999,219768,2284,0.0,199376.0,0.0,1215,2284.0,"Twitter, facebook, instagram, unknown",4,"Wildfire Story Link | Texas Prospective Students | Wildfire Editorial | July 2021; Wildfire Story Link | SMU Page Followers | Wildfire Editorial | July 2021;...and 2 more ads, Wildfire link",2,"Wildfire Story Link | Texas Prospective Students | Wildfire Editorial | July 2021; Wildfire Story Link | SMU Page Followers | Wildfire Editorial | July 2021;...and 2 more ads, Wildfire link | July 2021 ",2,"Wildfire Editorial | July 2021, Wildfire Story Link | Texas Prospective Students | Wildfire Editorial | July 2021; Wildfire Story Link | SMU Page Followers | Wildfire Editorial | July 2021;...and 2 more ads",2,"Link clicks, Missing Value",2,"Missing Value, Website traffic",2
44,"At age 85, Marillyn Seeberger '22 has graduated from SMU and is ready start her new career as a screenwriter. “I always wanted to write,"" she said. ""I knew I had stories to tell with a little bit of fact and a little bit of fiction.”",115.21000000000001,3279,53,0.0,0.0,0.0,55,17.0,Twitter,1,Ad 3,1,"Dallas Geographic Area, Higher Ed Influencers",2,"Here We Go, Mustangs! Editorial - 2022",1,Link clicks,1,Website traffic,1
45,"Austin’s leadership skills and proven ability to create change has earned the senior economics and public policy major a Truman Scholarship, the premier graduate fellowship for future public servants.",0.6,6,1,0.0,0.0,0.0,1,1.0,Twitter,1,Ad 1,1,Higher Ed Influencers,1,Higher Ed Blitz_Wave 1,1,Link clicks,1,Website traffic,1
