Tweet Text,Campaign name,Ad name,Cost Per Result,Spend,Cost Per Result Type,Cost per 1k impressions,Cost per engagement,Tweet publish date,Placement,Campaign ID,Ad Group ID,Tweet status,Tweet ID,Campaign ID.1
"“Most of what you love about city life, you can have to a greater degree than you ever imagined in the Dallas area,” says Cullum Clark, economist at SMU.",Content_Traffic_February_2022,Ad 7 February 2022,5.06,116.49,Cost per link click,14.03,1.64,12-Feb-2022 04:25,All,i28727769,i36162292,Expired,1492444850305712129,28727769
"“I am pleased to be joining [the fellows] with my colleague, Professor Zhong Lu, whose work typifies the world-changing, interdisciplinary research our SMU faculty strive to provide.” – Dr. Elizabeth Loboa",Content_Traffic_February_2022,Ad 3 February 2022,7.96,103.54,Cost per link click,13.21,2.07,12-Feb-2022 04:29,All,i28727769,i36162292,Expired,1492445737921093633,28727769
"Using a crowdsourced video game, players help the team create new data sets out of captured retinal images, helping to lead to potential breakthroughs in detection and treatment.",Content_Traffic_February_2022,Ad 5 February 2022,3.15,63.01,Cost per link click,6.07,0.68,10-Feb-2022 15:38,All,i28727769,i36162292,Expired,1491889259480948737,28727769
"There she goes again.
Neha Husein '19 was selected as the first winner of the WEDallas inaugural pitch competition, a decision that completed a two-month cohort for women entrepreneurs.",Content_Traffic_February_2022,Ad 2 February 2022,2.26,627.25,Cost per link click,9.03,0.8,10-Feb-2022 15:29,All,i28727769,i36162292,Expired,1491887066405240849,28727769
"The technology uses automated software to precisely identify ocular diseases including age-related macular degeneration, a leading cause of visual impairment in the world.",Content_Traffic_February_2022,Ad 1 February 2022,4.97,99.38,Cost per link click,10.64,1.53,10-Feb-2022 15:26,All,i28727769,i36162292,Expired,1491886213304778762,28727769
"The Garry Weber End Zone Complex will anchor Ford Stadium’s south bowl and increase the functionality, efficiency and overall experience of Mustang football for student-athletes and fans.",Content_Traffic_January_2022,Ad 5,1.9,9.51,Cost per link click,16.25,0.12,26-Jan-2022 10:19,All,i28331623,i35700755,Expired,1486373141706334215,28331623
"Igniting the future of football on The Hilltop.

A $50 million commitment from Garry A. Weber ’58, is the largest gift in the history of SMU Athletics to create a 192,500-square-foot Garry Weber End Zone Complex at Gerald J. Ford Stadium.",Content_Traffic_January_2022,Ad 4,2.32,222.89,Cost per link click,22.61,0.69,26-Jan-2022 09:52,All,i28331623,i35700755,Expired,1486366552291221506,28331623
"From the beaches of Australia to the bayous of Louisiana, Isabelle finds her inspiration in the places where water meets land. 

Her next step will take her to to further her studies on climate and policymaking at both Oxford and Durham Universities in England.",Content_Traffic_January_2022,Ad 2,0.36,865.6,Cost per link click,8.78,0.26,06-Jan-2022 03:43,All,i28331623,i35387475,Expired,1479025915774517248,28331623
"""You are going to hear 'no' a lot on your journey, but you must persist to “find your yes.' ""

Meet Hannah Clark '23, a mechanical engineering student, on completing her second internship with NASA.",Content_Traffic_January_2022,Ad 1,0.36,135.77,Cost per link click,7.96,0.22,06-Jan-2022 03:41,All,i28331623,i35387475,Expired,1479025342157316096,28331623
"""We've taken another step in entering a new era of bold research.

Supported by a $100 million gift from the Moody Foundation, SMU breaks ground on the new Frances Anne Moody Hall, which will house the Moody School of Graduate and Advanced Studies.""",Content_Traffic_December_2021,Ad 5,3.65,233.72,Cost per link click,17.27,1.29,07-Dec-2021 03:51,All,i27976318,i34959821,Expired,1468156179113287686,27976318
"Coelacanths are giant, bottom-dwelling fish whose ancient lineage stretches back more than 360 million years.",Content_Traffic_December_2021,Ad 4,1.28,1430.67,Cost per link click,13.2,0.75,07-Dec-2021 03:47,All,i27976318,i34959574,Expired,1468155124338110465,27976318
"“Our team at SMU is on the forefront of extending computational vibrational spectroscopy into periodic systems and solids, a field with a lot of potential, but still in its infancy.”-Elfi Kraka, chair of the Department of Chemistry at SMU.",Content_Traffic_December_2021,Ad 3,7.86,23.57,Cost per link click,6.61,0.81,07-Dec-2021 03:44,All,i27976318,i34959574,Expired,1468154492961148934,27976318
"It’s the fourth time Wang, a professor with the Department of Electrical and Computer Engineering in SMU’s Lyle School of Engineering, has won the award.",Content_Traffic_December_2021,Ad 2,1.95,7.79,Cost per link click,1.59,0.31,07-Dec-2021 03:42,All,i27976318,i34959574,Expired,1468153944136376321,27976318
"From expanding research to enabling students to attend SMU regardless of financial means, we're blazing a new path and igniting the future.",Higher Ed Stories | November 2021,DMN SMU Ignited Editorial,6.68,252.31,Cost per 1k impressions,6.68,2.97,17-Nov-2021 16:31,All,i27754916,i34680603,Expired,1461099815656308738,27754916
"North Texas dream team is partnering to launch a collaboration dedicated to leveraging the transformational power of sports to improve the health, activity levels and well-being of kids.

@smusimmons 🤝 @childrens 🤝 @AndrewsInst

https://t.co/ipb6lerChD",Higher Ed Stories | November 2021,summary_large_image,6.65,237.44,Cost per 1k impressions,6.65,3.17,08-Nov-2021 09:32,All,i27754916,i34680603,Expired,1457732682574557187,27754916
